ID,species_code,family,genus,species,scientific_name,scientific_code,native-range,5E-1,5E-3,5E-4,5E-5,5E-6,5E-7,5E-8,5E-9,5E-10,5E-11,5E-13,6E-7,6E-8,6E-9,6E-10,6E-11,6E-12,6E-13,6E-14,6E-15,6E-16,6E-17,7E-1,7E-2,7E-3,7E-4,7E-5,7E-6
83,elmsib,Ulmaceae,Elm,Siberian Elm,Ulmus pumila,ulmupumi,Northeastern Asia,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
84,elmsli,Ulmaceae,Elm,Slippery Elm,Ulmus rubra,ulmurubr,"Southern Ontario & Quebec, Central -Eastern U.S.A.",native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native
86,euoeur,Celastraceae,Spindletree,European Euonymus,Euonymus europaeus,euoneuro,Europe,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
88,firbal,Pinaceae,Fir,Balsam Fir,Abies balsamea,abiebals,Central and Eastern Canada,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,native,introduced,introduced,native,native,introduced,introduced
89,firdou,Pinaceae,Douglas Fir,Douglas Fir,Pseudotsuga menziesii,pseumenz,Weatern North America,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
90,firfra,Pinaceae,Fir,Fraser Fir,Abies fraseri,abiefras,"North America: West Virginia, Tennessee, and North Carolina",introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
91,firgra,Pinaceae,Fir,Grand Fir,Abies grandis,abiegran,"North America: Coastal and interior forests of Southern British Columbia,  Coastal and interior forest of Western  USA",introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
93,firwhi,Pinaceae,Fir,White Fir,Abies concolor,abieconc,"Western USA, Northern Mexico",introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
94,flodou,Rosaceae,Cherry/Plum,Double Flowering Plum,Prunus triloba,pruntril,,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
96,ginkgo,Ginkgoaceae,Ginkgo,Ginkgo,Ginkgo biloba,ginkbilo,China,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
97,golcha,Fabaceae,Laburnum,Goldenchain Tree,Laburnum anagyroides,labuanag,,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
98,gumbla,Nyssaceae,Gum,Black Gum,Nyssa sylvatica,nysssylv,Eeastern North America,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,native,native,native,introduced,native,introduced
99,hacber,Ulmaceae,Hackberry,Hackberry,Celtis occidentalis,celtocci,"Southern Ontario, Quebec, USA",introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,native,introduced,introduced,native,native,introduced,introduced,native,native,introduced,native,native,native,introduced,native,native
100,hawcoc,Rosaceae,Hawthorn,Cockspur Hawthorn,Crataegus crus-galli,cratcrus,"Southern Quebec, Ontario, Eastern USA",introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced,introduced
